Genre,Word,Frequency
Action,hale,3
Action,jill,3
Action,entei,3
Action,theory,3
Action,apple,3
Action,tongan,3
Action,blofeld,3
Action,doom,3
Action,joey,3
Action,melvin,3
Adventure,potter,3
Adventure,fast,3
Adventure,clock,3
Adventure,chaney,3
Adventure,tongan,3
Adventure,blofeld,3
Adventure,champion,3
Adventure,doom,3
Adventure,fairy,3
Adventure,melvin,3
Animation,nickelodeon,3
Animation,further,3
Animation,final,3
Animation,ruled,3
Animation,entei,3
Animation,whose,3
Animation,retrieve,3
Animation,grandfather,3
Animation,alex,3
Animation,garfield,3
Comedy,leon,3
Comedy,focused,3
Comedy,filming,3
Comedy,rajveer,3
Comedy,radhika,3
Comedy,hitch,3
Comedy,garfield,3
Comedy,promised,3
Comedy,giselle,3
Comedy,leopold,3
Crime,released,3
Crime,never,3
Crime,apple,3
Crime,dave,3
Crime,luck,3
Crime,stan,3
Crime,mccain,3
Crime,wesley,3
Crime,polly,3
Crime,joey,3
Documentary,problem,3
Documentary,doctor,3
Documentary,view,3
Documentary,wiley,3
Documentary,club,3
Documentary,concert,3
Documentary,store,3
Documentary,america,3
Documentary,now,3
Documentary,child,3
Drama,keats,3
Drama,chaney,3
Drama,wang,3
Drama,tongan,3
Drama,stan,3
Drama,mccain,3
Drama,neville,3
Drama,pig,3
Drama,coriolanus,3
Drama,tess,3
Family,gracey,3
Family,attention,3
Family,elliott,3
Family,tongan,3
Family,blanket,3
Family,rajveer,3
Family,radhika,3
Family,royal,3
Family,garfield,3
Family,giselle,3
Fantasy,center,3
Fantasy,taken,3
Fantasy,hades,3
Fantasy,elliott,3
Fantasy,truth,3
Fantasy,doom,3
Fantasy,grandfather,3
Fantasy,giselle,3
Fantasy,leopold,3
Fantasy,lena,3
Fiction,know,3
Fiction,drone,3
Fiction,corruption,3
Fiction,kitai,3
Fiction,obama,3
Fiction,speed,3
Fiction,inner,3
Fiction,neville,3
Fiction,immortal,3
Fiction,leopold,3
Foreign,home,3
Foreign,beautiful,3
Foreign,high,3
Foreign,two,3
Foreign,between,3
Foreign,katadreuffe,3
Foreign,carlisle,3
Foreign,new,3
Foreign,mccain,3
Foreign,widow,3
History,without,3
History,inspired,3
History,eddie,3
History,katadreuffe,3
History,malone,3
History,had,3
History,east,3
History,hoover,3
History,solomon,3
History,gay,3
Horror,moving,3
Horror,grisly,3
Horror,unstable,3
Horror,obama,3
Horror,name,3
Horror,carol,3
Horror,billy,3
Horror,freak,3
Horror,kevin,3
Horror,maxwell,3
Movie,town,3
Movie,but,3
Movie,family,3
Movie,from,3
Movie,woman,3
Movie,out,3
Movie,teenage,3
Movie,find,3
Movie,young,3
Movie,set,3
Music,hollywood,3
Music,hannah,3
Music,both,3
Music,carmen,3
Music,rival,3
Music,tracy,3
Music,destroy,3
Music,horace,3
Music,true,3
Music,canada,3
Mystery,michael,3
Mystery,lauras,3
Mystery,folk,3
Mystery,partner,3
Mystery,role,3
Mystery,name,3
Mystery,obama,3
Mystery,gracey,3
Mystery,voyage,3
Mystery,theory,3
Romance,rajveer,3
Romance,radhika,3
Romance,hitch,3
Romance,albert,3
Romance,gerry,3
Romance,giselle,3
Romance,leopold,3
Romance,lounge,3
Romance,tess,3
Romance,ali,3
Science,know,3
Science,drone,3
Science,corruption,3
Science,kitai,3
Science,obama,3
Science,speed,3
Science,inner,3
Science,neville,3
Science,immortal,3
Science,leopold,3
TV,town,3
TV,but,3
TV,family,3
TV,from,3
TV,woman,3
TV,out,3
TV,teenage,3
TV,find,3
TV,young,3
TV,set,3
Thriller,facing,3
Thriller,gracey,3
Thriller,able,3
Thriller,wang,3
Thriller,blofeld,3
Thriller,mccain,3
Thriller,madison,3
Thriller,coriolanus,3
Thriller,joey,3
Thriller,melvin,3
War,rise,3
War,mother,3
War,queen,3
War,off,3
War,sam,3
War,trojan,3
War,greek,3
War,nanking,3
War,netherlands,3
War,legion,3
Western,led,3
Western,named,3
Western,struggle,3
Western,faith,3
Western,averill,3
Western,battle,3
Western,murder,3
Western,men,3
Western,mexican,3
Western,chaney,3
